neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
happy
happy
happy
happy
happy
happy
happy
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
angry
angry
angry
angry
angry
angry
angry
scared
scared
scared
scared
scared
scared
scared
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
angry
angry
angry
angry
angry
angry
angry
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral,neutral
neutral
neutral,neutral
neutral,neutral,neutral
neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral
neutral,neutral,neutral,neutral,neutral,neutral
